name,rating,date,text
Dylan,4,2024-05-20,"proses barang saja yang agak lama, pesan tanggal 7 baru dikirim tanggal 11"
Arifin,5,2024-09-22,Barang original dan oke
H***s,4,2024-05-20,"Barangnya ok mantaf keren pokoknya
Cuma ditingkatkan lagi aja kecepatan pengirimanya
Utk kedepannya dpt lgsg diproses dan dikirim
Tks"
Giar,5,2024-05-20,barang oke dan pengiriman cepat. thank you!
Ruben,5,2024-05-20,mantaps sesuai keren. pnp jg..
GPoernama,5,2024-05-20,Barang sesuai dengan pesanan dan pengiriman cepat
D***s,4,2024-05-20,"toko slow respon, next tolong di benahin lagi, IG, ******* tokped semua dibales chatnya lama, pengiriman dari kurir cepet *5, cuman buat toko *3"
OMPOL,5,2024-05-20,terimakasih kak sudah di beri free stiker
Fitra,5,2024-05-20,"Sedih, salah pilih warna karna lupa cek ulang"
Febrizky,2,2024-05-20,"Bekas dipakai tutup olinya, gompal bagian untuk mengencangkan nya"
Benaya,5,2024-05-20,Mantap. Berfungsi Dengan Baik
R***d,5,2025-04-29,"Gokil, motor jadi semakin kece dan fungsional nya dapet ❤"
EkoYulianto,5,2024-09-22,jos mantap sesuai pesanan terima kasih admin
Agung,5,2024-05-20,Mantap presisi
W***n,2,2024-05-20,"kualitas bagus 👍👍👍👍👍 packing rapi tap tidak dibagian admin atau back officenya, pengiriman lama dan setiap ditanya jawab “kemungkinan dikirim hari ini” terus jawab lagi “kemungkinan besok”

saran, kalau mau cepet bisa pertimbangkan beli di reseller. semoga kualitas diperbaiki lagi"
Aris,5,2024-05-20,"joss pnp bos, makin ganteng namex saya, thanks arm"
J***s,5,2025-05-06,Mantab..sudah beberapa kali order dan gak pernah gagal
Priyatna,2,2024-05-20,"barangnya kurang bagus build Quality nya, banyak yg cacat dan pengiriman lama. tolong tingkatkan lagi. apalagi ini brand lokal pride. Terima gajih"
K***a,5,2024-05-20,produk bagus berkualitas
Romy,2,2024-05-20,drat tidak pas dengan xmax. quality build dan bahan bagus
bima,5,2024-05-20,kualitas tidak diragukan lagi
Eko,3,2024-05-20,produk yg sangat bagus tpi pelayanan samgat buruk
Mali,5,2024-05-20,"Baru tpi serasa bekas, gak mulus 100%"
